iter	Passed	Remaining
0	1	114
1	1	96
2	2	93
3	3	90
4	4	88
5	5	83
6	6	79
7	6	77
8	7	75
9	8	73
10	9	72
11	9	72
12	10	72
13	11	71
14	12	70
15	13	68
16	13	66
17	14	65
18	14	63
19	15	61
20	16	60
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	47
35	26	47
36	27	47
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	37
49	37	37
50	38	37
51	39	36
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	68	8
89	68	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	74	1
98	76	0
99	77	0
