iter	Passed	Remaining
0	195	194986
1	196	98017
2	197	65642
3	198	49444
4	199	39719
5	200	33225
6	201	28590
7	202	25116
8	203	22436
9	204	20287
10	206	18522
11	207	17086
12	208	15859
13	209	14784
14	210	13854
15	211	13034
16	212	12313
17	213	11670
18	214	11096
19	215	10577
20	216	10113
21	218	9694
22	219	9310
23	221	8991
24	222	8685
25	223	8384
26	224	8104
27	225	7844
28	227	7604
29	228	7382
30	229	7178
31	230	6978
32	231	6790
33	232	6614
34	233	6450
35	235	6297
36	237	6172
37	238	6049
38	240	5917
39	241	5792
40	243	5688
41	249	5683
42	250	5573
43	251	5466
44	253	5371
45	254	5277
46	255	5184
47	256	5094
48	258	5009
49	259	4927
50	260	4848
51	261	4773
52	263	4699
53	264	4628
54	265	4563
55	267	4515
56	269	4453
57	270	4390
58	271	4328
59	272	4271
60	273	4213
61	274	4156
62	275	4103
63	277	4052
64	278	4000
65	279	3952
66	280	3908
67	282	3873
68	284	3838
69	285	3794
70	286	3751
71	287	3709
72	288	3669
73	290	3631
74	291	3592
75	292	3556
76	293	3520
77	294	3486
78	296	3450
79	298	3427
80	299	3396
81	300	3363
82	301	3325
83	302	3294
84	303	3265
85	304	3236
86	305	3209
87	306	3181
88	308	3152
89	309	3126
90	310	3101
91	312	3085
92	314	3064
93	315	3038
94	316	3014
95	317	2990
96	318	2967
97	319	2944
98	321	2921
99	322	2899
100	323	2878
101	324	2858
102	325	2838
103	328	2833
104	330	2814
105	331	2794
106	332	2778
107	334	2759
108	335	2740
109	336	2723
110	337	2705
111	338	2687
112	340	2671
113	341	2655
114	343	2647
115	345	2632
116	346	2614
117	347	2597
118	348	2583
119	350	2567
120	351	2552
121	352	2536
122	353	2522
123	355	2508
124	358	2510
125	361	2504
126	362	2489
127	363	2475
128	364	2462
129	365	2449
130	367	2435
131	368	2421
132	369	2407
133	370	2394
134	372	2384
135	373	2372
136	374	2359
137	375	2347
138	376	2335
139	378	2322
140	379	2310
141	379	2295
142	381	2283
143	382	2272
144	383	2261
145	385	2252
146	386	2243
147	388	2234
148	389	2222
149	390	2211
150	391	2200
151	392	2190
152	393	2179
153	394	2168
154	395	2158
155	397	2148
